,continent,noc,year,or,argent,bronze
0,ASIE,AFG,2008,0,0,1
1,ASIE,AFG,2012,0,0,1
2,AFRIQUE,ALG,1984,0,0,2
3,AFRIQUE,ALG,1992,1,0,1
4,AFRIQUE,ALG,1996,2,0,1
5,AFRIQUE,ALG,2000,1,1,3
6,AFRIQUE,ALG,2008,0,1,1
7,AFRIQUE,ALG,2012,1,0,0
8,AFRIQUE,ALG,2016,0,2,0
9,AMÉRIQUE,ARG,1924,1,3,2
10,AMÉRIQUE,ARG,1928,3,3,1
11,AMÉRIQUE,ARG,1932,3,1,0
12,AMÉRIQUE,ARG,1936,2,2,3
13,AMÉRIQUE,ARG,1948,3,3,1
14,AMÉRIQUE,ARG,1952,1,2,2
15,AMÉRIQUE,ARG,1956,0,1,1
16,AMÉRIQUE,ARG,1960,0,1,1
17,AMÉRIQUE,ARG,1964,0,1,0
18,AMÉRIQUE,ARG,1968,0,0,2
19,AMÉRIQUE,ARG,1972,0,1,0
20,AMÉRIQUE,ARG,1988,0,1,1
21,AMÉRIQUE,ARG,1992,0,0,1
22,AMÉRIQUE,ARG,1996,0,2,1
23,AMÉRIQUE,ARG,2000,0,2,2
24,AMÉRIQUE,ARG,2004,2,0,4
25,AMÉRIQUE,ARG,2008,2,0,4
26,AMÉRIQUE,ARG,2012,1,1,2
27,AMÉRIQUE,ARG,2016,3,1,0
28,ASIE,ARM,1996,1,1,0
29,ASIE,ARM,2000,0,0,1
30,ASIE,ARM,2008,0,0,6
31,ASIE,ARM,2012,0,1,2
32,ASIE,ARM,2016,1,3,0
33,OCÉANIE,ANZ,1908,1,2,2
34,OCÉANIE,ANZ,1912,2,2,3
35,OCÉANIE,AUS,1896,2,0,1
36,OCÉANIE,AUS,1900,3,0,3
37,OCÉANIE,AUS,1904,0,3,1
38,OCÉANIE,AUS,1920,0,2,1
39,OCÉANIE,AUS,1924,4,1,2
40,OCÉANIE,AUS,1928,1,2,1
41,OCÉANIE,AUS,1932,3,1,1
42,OCÉANIE,AUS,1936,0,0,1
43,OCÉANIE,AUS,1948,2,6,5
44,OCÉANIE,AUS,1952,6,2,3
45,OCÉANIE,AUS,1956,13,8,14
46,OCÉANIE,AUS,1960,8,8,6
47,OCÉANIE,AUS,1964,6,2,10
48,OCÉANIE,AUS,1968,5,7,5
49,OCÉANIE,AUS,1972,8,7,2
50,OCÉANIE,AUS,1976,0,1,4
51,OCÉANIE,AUS,1980,2,2,5
52,OCÉANIE,AUS,1984,4,8,12
53,OCÉANIE,AUS,1988,3,6,5
54,OCÉANIE,AUS,1992,7,9,11
55,OCÉANIE,AUS,1996,9,9,23
56,OCÉANIE,AUS,2000,16,25,17
57,OCÉANIE,AUS,2004,17,16,17
58,OCÉANIE,AUS,2008,14,15,17
59,OCÉANIE,AUS,2012,7,16,12
60,OCÉANIE,AUS,2016,8,11,10
61,EUROPE,AUT,1896,2,1,2
62,EUROPE,AUT,1900,0,3,3
63,EUROPE,AUT,1904,2,1,1
64,EUROPE,AUT,1908,0,0,1
65,EUROPE,AUT,1912,0,2,2
66,EUROPE,AUT,1924,2,4,1
67,EUROPE,AUT,1928,3,3,2
68,EUROPE,AUT,1932,2,2,3
69,EUROPE,AUT,1936,6,8,7
70,EUROPE,AUT,1948,3,5,8
71,EUROPE,AUT,1952,2,5,3
72,EUROPE,AUT,1956,4,3,6
73,EUROPE,AUT,1960,2,3,3
74,EUROPE,AUT,1964,4,5,3
75,EUROPE,AUT,1968,3,6,6
76,EUROPE,AUT,1972,1,3,4
77,EUROPE,AUT,1976,2,2,3
78,EUROPE,AUT,1980,4,4,3
79,EUROPE,AUT,1984,1,1,2
80,EUROPE,AUT,1988,4,5,2
81,EUROPE,AUT,1992,6,9,8
82,EUROPE,AUT,1996,0,1,2
83,EUROPE,AUT,2000,2,1,0
84,EUROPE,AUT,2004,2,4,1
85,EUROPE,AUT,2008,0,1,2
86,EUROPE,AUT,2016,0,0,1
87,ASIE,AZE,1996,0,1,0
88,ASIE,AZE,2000,2,0,1
89,ASIE,AZE,2004,1,0,4
90,ASIE,AZE,2008,1,2,4
91,ASIE,AZE,2012,2,2,6
92,ASIE,AZE,2016,1,7,10
93,AMÉRIQUE,BAH,1956,0,0,1
94,AMÉRIQUE,BAH,1964,1,0,0
95,AMÉRIQUE,BAH,1992,0,0,1
96,AMÉRIQUE,BAH,1996,0,1,0
97,AMÉRIQUE,BAH,2000,2,0,1
98,AMÉRIQUE,BAH,2004,1,0,1
99,AMÉRIQUE,BAH,2008,0,1,1
100,AMÉRIQUE,BAH,2012,1,0,0
101,AMÉRIQUE,BAH,2016,1,0,1
102,ASIE,BRN,2012,0,0,1
103,ASIE,BRN,2016,1,1,0
104,AMÉRIQUE,BAR,2000,0,0,1
105,EUROPE,BLR,1996,1,6,8
106,EUROPE,BLR,2000,3,3,11
107,EUROPE,BLR,2004,2,5,6
108,EUROPE,BLR,2008,4,5,9
109,EUROPE,BLR,2012,2,5,5
110,EUROPE,BLR,2016,1,4,4
111,EUROPE,BEL,1900,6,7,5
112,EUROPE,BEL,1908,1,5,2
113,EUROPE,BEL,1912,2,1,3
114,EUROPE,BEL,1920,16,12,14
115,EUROPE,BEL,1924,3,7,4
116,EUROPE,BEL,1928,0,1,3
117,EUROPE,BEL,1932,0,0,1
118,EUROPE,BEL,1936,0,0,3
119,EUROPE,BEL,1948,3,3,3
120,EUROPE,BEL,1952,2,2,0
121,EUROPE,BEL,1956,0,2,0
122,EUROPE,BEL,1960,0,2,2
123,EUROPE,BEL,1964,2,0,1
124,EUROPE,BEL,1968,0,1,1
125,EUROPE,BEL,1972,0,2,0
126,EUROPE,BEL,1976,0,3,3
127,EUROPE,BEL,1980,1,0,0
128,EUROPE,BEL,1984,1,1,2
129,EUROPE,BEL,1988,0,0,2
130,EUROPE,BEL,1992,0,1,2
131,EUROPE,BEL,1996,2,2,2
132,EUROPE,BEL,2000,0,2,3
133,EUROPE,BEL,2004,1,0,2
134,EUROPE,BEL,2008,1,1,0
135,EUROPE,BEL,2012,0,1,2
136,EUROPE,BEL,2016,2,2,2
137,AMÉRIQUE,BER,1976,0,0,1
138,AFRIQUE,BOT,2012,0,1,0
139,AMÉRIQUE,BRA,1920,1,1,1
140,AMÉRIQUE,BRA,1948,0,0,1
141,AMÉRIQUE,BRA,1952,1,0,2
142,AMÉRIQUE,BRA,1956,1,0,0
143,AMÉRIQUE,BRA,1960,0,0,2
144,AMÉRIQUE,BRA,1964,0,0,1
145,AMÉRIQUE,BRA,1968,0,1,2
146,AMÉRIQUE,BRA,1972,0,0,2
147,AMÉRIQUE,BRA,1976,0,0,2
148,AMÉRIQUE,BRA,1980,2,0,2
149,AMÉRIQUE,BRA,1984,1,5,2
150,AMÉRIQUE,BRA,1988,1,2,3
151,AMÉRIQUE,BRA,1992,2,1,0
152,AMÉRIQUE,BRA,1996,3,3,9
153,AMÉRIQUE,BRA,2000,0,6,6
154,AMÉRIQUE,BRA,2004,5,2,3
155,AMÉRIQUE,BRA,2008,3,4,9
156,AMÉRIQUE,BRA,2012,3,5,9
157,AMÉRIQUE,BRA,2016,7,6,6
158,EUROPE,BUL,1952,0,0,1
159,EUROPE,BUL,1956,1,3,1
160,EUROPE,BUL,1960,1,3,3
161,EUROPE,BUL,1964,3,5,2
162,EUROPE,BUL,1968,2,4,3
163,EUROPE,BUL,1972,6,10,5
164,EUROPE,BUL,1976,6,9,7
165,EUROPE,BUL,1980,8,16,18
166,EUROPE,BUL,1988,10,12,13
167,EUROPE,BUL,1992,3,7,6
168,EUROPE,BUL,1996,3,7,5
169,EUROPE,BUL,2000,5,6,2
170,EUROPE,BUL,2004,2,1,9
171,EUROPE,BUL,2008,1,1,3
172,EUROPE,BUL,2012,0,1,1
173,EUROPE,BUL,2016,0,1,2
174,AFRIQUE,BDI,1996,1,0,0
175,AFRIQUE,BDI,2016,0,1,0
176,AFRIQUE,CMR,1968,0,1,0
177,AFRIQUE,CMR,1984,0,0,1
178,AFRIQUE,CMR,2000,1,0,0
179,AFRIQUE,CMR,2004,1,0,0
180,AFRIQUE,CMR,2008,1,0,0
181,AMÉRIQUE,CAN,1900,1,0,1
182,AMÉRIQUE,CAN,1904,4,1,1
183,AMÉRIQUE,CAN,1908,3,3,10
184,AMÉRIQUE,CAN,1912,3,2,3
185,AMÉRIQUE,CAN,1920,3,3,3
186,AMÉRIQUE,CAN,1924,1,3,1
187,AMÉRIQUE,CAN,1928,5,4,7
188,AMÉRIQUE,CAN,1932,3,6,14
189,AMÉRIQUE,CAN,1936,1,4,5
190,AMÉRIQUE,CAN,1948,2,2,3
191,AMÉRIQUE,CAN,1952,2,2,1
192,AMÉRIQUE,CAN,1956,2,2,5
193,AMÉRIQUE,CAN,1960,2,2,1
194,AMÉRIQUE,CAN,1964,2,3,2
195,AMÉRIQUE,CAN,1968,2,4,2
196,AMÉRIQUE,CAN,1972,0,3,3
197,AMÉRIQUE,CAN,1976,1,6,7
198,AMÉRIQUE,CAN,1980,0,1,1
199,AMÉRIQUE,CAN,1984,12,19,17
200,AMÉRIQUE,CAN,1988,3,4,8
201,AMÉRIQUE,CAN,1992,9,7,9
202,AMÉRIQUE,CAN,1996,3,11,8
203,AMÉRIQUE,CAN,2000,3,3,8
204,AMÉRIQUE,CAN,2004,3,6,3
205,AMÉRIQUE,CAN,2008,3,9,7
206,AMÉRIQUE,CAN,2012,1,5,12
207,AMÉRIQUE,CAN,2016,4,3,15
208,AMÉRIQUE,CHI,1928,0,1,0
209,AMÉRIQUE,CHI,1952,0,2,0
210,AMÉRIQUE,CHI,1956,0,2,2
211,AMÉRIQUE,CHI,1988,0,1,0
212,AMÉRIQUE,CHI,2000,0,0,1
213,AMÉRIQUE,CHI,2004,2,0,1
214,AMÉRIQUE,CHI,2008,0,1,0
215,ASIE,CHN,1984,15,8,9
216,ASIE,CHN,1988,5,11,12
217,ASIE,CHN,1992,16,25,15
218,ASIE,CHN,1996,16,22,12
219,ASIE,CHN,2000,28,16,14
220,ASIE,CHN,2004,32,17,14
221,ASIE,CHN,2008,51,21,28
222,ASIE,CHN,2012,38,27,23
223,ASIE,CHN,2016,26,18,26
224,AMÉRIQUE,COL,1900,0,1,0
225,AMÉRIQUE,COL,1972,0,1,2
226,AMÉRIQUE,COL,1984,0,1,0
227,AMÉRIQUE,COL,1988,0,0,1
228,AMÉRIQUE,COL,1992,0,0,1
229,AMÉRIQUE,COL,2000,1,0,0
230,AMÉRIQUE,COL,2004,0,0,2
231,AMÉRIQUE,COL,2008,0,1,1
232,AMÉRIQUE,COL,2012,1,3,4
233,AMÉRIQUE,COL,2016,3,2,3
234,AMÉRIQUE,CRC,1988,0,1,0
235,AMÉRIQUE,CRC,1996,1,0,0
236,AMÉRIQUE,CRC,2000,0,0,2
237,EUROPE,CRO,1992,0,1,2
238,EUROPE,CRO,1996,1,1,0
239,EUROPE,CRO,2000,1,0,1
240,EUROPE,CRO,2004,1,2,2
241,EUROPE,CRO,2008,0,2,3
242,EUROPE,CRO,2012,3,1,2
243,EUROPE,CRO,2016,5,3,2
244,AMÉRIQUE,CUB,1900,1,1,0
245,AMÉRIQUE,CUB,1904,4,0,0
246,AMÉRIQUE,CUB,1948,0,1,0
247,AMÉRIQUE,CUB,1964,0,1,0
248,AMÉRIQUE,CUB,1968,0,4,0
249,AMÉRIQUE,CUB,1972,3,1,4
250,AMÉRIQUE,CUB,1976,6,4,3
251,AMÉRIQUE,CUB,1980,8,7,5
252,AMÉRIQUE,CUB,1992,14,6,11
253,AMÉRIQUE,CUB,1996,9,8,8
254,AMÉRIQUE,CUB,2000,11,11,7
255,AMÉRIQUE,CUB,2004,9,7,11
256,AMÉRIQUE,CUB,2008,2,11,11
257,AMÉRIQUE,CUB,2012,5,3,6
258,AMÉRIQUE,CUB,2016,5,2,4
259,AMÉRIQUE,AHO,1988,0,1,0
260,ASIE,CYP,2012,0,1,0
261,EUROPE,BOH,1900,0,1,2
262,EUROPE,BOH,1908,0,0,2
263,EUROPE,DEN,1896,1,2,3
264,EUROPE,DEN,1900,2,3,2
265,EUROPE,DEN,1908,0,2,3
266,EUROPE,DEN,1912,1,6,5
267,EUROPE,DEN,1920,3,9,1
268,EUROPE,DEN,1924,2,6,3
269,EUROPE,DEN,1928,3,2,4
270,EUROPE,DEN,1932,0,5,3
271,EUROPE,DEN,1936,0,2,3
272,EUROPE,DEN,1948,5,8,9
273,EUROPE,DEN,1952,2,1,3
274,EUROPE,DEN,1956,1,2,1
275,EUROPE,DEN,1960,2,3,1
276,EUROPE,DEN,1964,2,1,3
277,EUROPE,DEN,1968,1,4,3
278,EUROPE,DEN,1972,1,0,0
279,EUROPE,DEN,1976,1,0,2
280,EUROPE,DEN,1980,2,1,2
281,EUROPE,DEN,1984,0,3,3
282,EUROPE,DEN,1988,2,1,1
283,EUROPE,DEN,1992,1,1,4
284,EUROPE,DEN,1996,4,1,1
285,EUROPE,DEN,2000,2,3,1
286,EUROPE,DEN,2004,2,1,5
287,EUROPE,DEN,2008,2,2,3
288,EUROPE,DEN,2012,2,4,3
289,EUROPE,DEN,2016,2,6,7
290,AFRIQUE,DJI,1988,0,0,1
291,AMÉRIQUE,DOM,1984,0,0,1
292,AMÉRIQUE,DOM,2004,1,0,0
293,AMÉRIQUE,DOM,2008,1,1,0
294,AMÉRIQUE,DOM,2012,1,1,0
295,AMÉRIQUE,DOM,2016,0,0,1
296,AMÉRIQUE,ECU,1996,1,0,0
297,AMÉRIQUE,ECU,2008,0,1,0
298,AFRIQUE,EGY,1928,2,1,1
299,AFRIQUE,EGY,1936,2,1,2
300,AFRIQUE,EGY,1948,2,2,1
301,AFRIQUE,EGY,1952,0,0,1
302,AFRIQUE,EGY,1984,0,1,0
303,AFRIQUE,EGY,2004,1,1,3
304,AFRIQUE,EGY,2008,0,0,1
305,AFRIQUE,EGY,2012,0,2,0
306,AFRIQUE,EGY,2016,0,0,3
307,AFRIQUE,ERI,2004,0,0,1
308,EUROPE,EST,1920,1,2,0
309,EUROPE,EST,1924,1,1,4
310,EUROPE,EST,1928,2,1,2
311,EUROPE,EST,1936,2,2,3
312,EUROPE,EST,1992,1,0,1
313,EUROPE,EST,2000,1,0,2
314,EUROPE,EST,2004,0,1,2
315,EUROPE,EST,2008,1,1,0
316,EUROPE,EST,2012,0,1,1
317,EUROPE,EST,2016,0,0,1
318,AFRIQUE,ETH,1960,1,0,0
319,AFRIQUE,ETH,1964,1,0,0
320,AFRIQUE,ETH,1968,1,1,0
321,AFRIQUE,ETH,1972,0,0,2
322,AFRIQUE,ETH,1980,2,0,2
323,AFRIQUE,ETH,1992,1,0,2
324,AFRIQUE,ETH,1996,2,0,1
325,AFRIQUE,ETH,2000,4,1,3
326,AFRIQUE,ETH,2004,2,3,2
327,AFRIQUE,ETH,2008,4,1,2
328,AFRIQUE,ETH,2012,3,1,3
329,AFRIQUE,ETH,2016,1,2,5
330,OCÉANIE,FIJ,2016,1,0,0
331,EUROPE,FIN,1908,1,1,3
332,EUROPE,FIN,1912,9,8,9
333,EUROPE,FIN,1920,15,10,9
334,EUROPE,FIN,1924,18,17,13
335,EUROPE,FIN,1928,10,9,10
336,EUROPE,FIN,1932,6,9,13
337,EUROPE,FIN,1936,9,8,9
338,EUROPE,FIN,1948,9,11,8
339,EUROPE,FIN,1952,9,7,15
340,EUROPE,FIN,1956,6,4,12
341,EUROPE,FIN,1960,3,4,6
342,EUROPE,FIN,1964,6,4,5
343,EUROPE,FIN,1968,2,4,3
344,EUROPE,FIN,1972,3,5,5
345,EUROPE,FIN,1976,6,6,1
346,EUROPE,FIN,1980,4,6,7
347,EUROPE,FIN,1984,8,5,12
348,EUROPE,FIN,1988,5,2,4
349,EUROPE,FIN,1992,4,3,5
350,EUROPE,FIN,1996,1,2,1
351,EUROPE,FIN,2000,2,1,1
352,EUROPE,FIN,2004,0,2,0
353,EUROPE,FIN,2008,1,1,2
354,EUROPE,FIN,2012,0,1,2
355,EUROPE,FIN,2016,0,0,1
356,EUROPE,FRA,1896,5,4,2
357,EUROPE,FRA,1900,28,40,34
358,EUROPE,FRA,1904,0,2,0
359,EUROPE,FRA,1908,5,5,9
360,EUROPE,FRA,1912,7,5,3
361,EUROPE,FRA,1920,9,20,13
362,EUROPE,FRA,1924,14,14,15
363,EUROPE,FRA,1928,8,12,6
364,EUROPE,FRA,1932,12,5,4
365,EUROPE,FRA,1936,7,6,7
366,EUROPE,FRA,1948,13,7,17
367,EUROPE,FRA,1952,6,6,7
368,EUROPE,FRA,1956,4,4,6
369,EUROPE,FRA,1960,1,2,5
370,EUROPE,FRA,1964,4,12,6
371,EUROPE,FRA,1968,11,6,7
372,EUROPE,FRA,1972,2,5,9
373,EUROPE,FRA,1976,2,3,5
374,EUROPE,FRA,1980,6,5,4
375,EUROPE,FRA,1984,5,8,18
376,EUROPE,FRA,1988,7,4,7
377,EUROPE,FRA,1992,11,10,17
378,EUROPE,FRA,1996,15,7,15
379,EUROPE,FRA,2000,13,14,11
380,EUROPE,FRA,2004,11,9,13
381,EUROPE,FRA,2008,7,16,18
382,EUROPE,FRA,2012,11,11,13
383,EUROPE,FRA,2016,10,18,14
384,AFRIQUE,GAB,2012,0,1,0
385,ASIE,GEO,1996,0,0,2
386,ASIE,GEO,2000,0,0,6
387,ASIE,GEO,2004,2,2,0
388,ASIE,GEO,2008,3,0,3
389,ASIE,GEO,2012,1,3,3
390,ASIE,GEO,2016,2,1,4
391,EUROPE,FRG,1968,7,13,13
392,EUROPE,FRG,1972,16,12,17
393,EUROPE,FRG,1976,12,17,20
394,EUROPE,FRG,1980,0,2,3
395,EUROPE,FRG,1984,19,20,24
396,EUROPE,FRG,1988,13,18,17
397,AFRIQUE,GHA,1960,0,1,0
398,AFRIQUE,GHA,1964,0,0,1
399,AFRIQUE,GHA,1972,0,0,1
400,AFRIQUE,GHA,1992,0,0,1
401,EUROPE,GRE,1896,10,17,17
402,EUROPE,GRE,1904,1,0,1
403,EUROPE,GRE,1908,0,3,1
404,EUROPE,GRE,1912,1,0,1
405,EUROPE,GRE,1920,0,1,0
406,EUROPE,GRE,1924,1,0,0
407,EUROPE,GRE,1956,0,0,1
408,EUROPE,GRE,1960,1,0,0
409,EUROPE,GRE,1968,0,0,1
410,EUROPE,GRE,1972,0,2,0
411,EUROPE,GRE,1980,1,0,2
412,EUROPE,GRE,1984,0,1,1
413,EUROPE,GRE,1988,0,0,1
414,EUROPE,GRE,1992,2,0,0
415,EUROPE,GRE,1996,4,4,0
416,EUROPE,GRE,2000,4,6,3
417,EUROPE,GRE,2004,6,6,4
418,EUROPE,GRE,2008,0,2,2
419,EUROPE,GRE,2012,0,0,2
420,EUROPE,GRE,2016,3,1,2
421,AMÉRIQUE,GRN,2012,1,0,0
422,AMÉRIQUE,GRN,2016,0,1,0
423,AMÉRIQUE,GUA,2012,0,1,0
424,AMÉRIQUE,GUY,1980,0,0,1
425,AMÉRIQUE,HAI,1900,1,0,0
426,AMÉRIQUE,HAI,1924,0,0,1
427,AMÉRIQUE,HAI,1928,0,1,0
428,ASIE,HKG,1996,1,0,0
429,ASIE,HKG,2004,0,1,0
430,ASIE,HKG,2012,0,0,1
431,EUROPE,HUN,1896,2,1,3
432,EUROPE,HUN,1900,1,2,2
433,EUROPE,HUN,1904,2,1,1
434,EUROPE,HUN,1908,3,4,2
435,EUROPE,HUN,1912,3,2,3
436,EUROPE,HUN,1924,2,4,4
437,EUROPE,HUN,1928,5,5,0
438,EUROPE,HUN,1932,6,5,6
439,EUROPE,HUN,1936,10,1,6
440,EUROPE,HUN,1948,10,6,12
441,EUROPE,HUN,1952,16,10,17
442,EUROPE,HUN,1956,9,10,8
443,EUROPE,HUN,1960,6,8,7
444,EUROPE,HUN,1964,10,7,5
445,EUROPE,HUN,1968,10,10,12
446,EUROPE,HUN,1972,6,13,16
447,EUROPE,HUN,1976,4,5,13
448,EUROPE,HUN,1980,7,11,15
449,EUROPE,HUN,1988,11,6,6
450,EUROPE,HUN,1992,11,12,7
451,EUROPE,HUN,1996,7,4,10
452,EUROPE,HUN,2000,8,6,3
453,EUROPE,HUN,2004,8,6,3
454,EUROPE,HUN,2008,3,5,2
455,EUROPE,HUN,2012,8,4,6
456,EUROPE,HUN,2016,8,3,4
457,EUROPE,ISL,1956,0,1,0
458,EUROPE,ISL,1984,0,0,1
459,EUROPE,ISL,2000,0,0,1
460,EUROPE,ISL,2008,0,1,0
461,ASIE,IND,1900,0,2,0
462,ASIE,IND,1924,1,0,0
463,ASIE,IND,1928,1,0,0
464,ASIE,IND,1932,1,0,0
465,ASIE,IND,1936,1,0,0
466,ASIE,IND,1948,1,0,0
467,ASIE,IND,1952,1,0,1
468,ASIE,IND,1956,1,0,0
469,ASIE,IND,1960,0,1,0
470,ASIE,IND,1964,1,0,0
471,ASIE,IND,1968,0,0,1
472,ASIE,IND,1972,0,0,1
473,ASIE,IND,1980,1,0,0
474,ASIE,IND,1996,0,0,1
475,ASIE,IND,2000,0,0,1
476,ASIE,IND,2004,0,1,0
477,ASIE,IND,2008,1,0,2
478,ASIE,IND,2012,0,2,4
479,ASIE,IND,2016,0,1,1
480,None,IOA,1992,0,1,2
481,None,IOA,2016,1,0,1
482,ASIE,INA,1988,0,1,0
483,ASIE,INA,1992,2,2,1
484,ASIE,INA,1996,1,1,2
485,ASIE,INA,2000,1,3,2
486,ASIE,INA,2004,1,1,2
487,ASIE,INA,2008,1,1,3
488,ASIE,INA,2012,0,1,1
489,ASIE,INA,2016,1,2,0
490,ASIE,IRI,1948,0,0,1
491,ASIE,IRI,1952,0,3,4
492,ASIE,IRI,1956,2,2,1
493,ASIE,IRI,1960,0,1,3
494,ASIE,IRI,1964,0,0,2
495,ASIE,IRI,1968,2,1,2
496,ASIE,IRI,1972,0,2,1
497,ASIE,IRI,1976,0,1,1
498,ASIE,IRI,1988,0,1,0
499,ASIE,IRI,1992,0,1,2
500,ASIE,IRI,1996,1,1,1
501,ASIE,IRI,2000,3,0,1
502,ASIE,IRI,2004,2,2,2
503,ASIE,IRI,2008,1,0,1
504,ASIE,IRI,2012,4,5,3
505,ASIE,IRI,2016,3,1,4
506,ASIE,IRQ,1960,0,0,1
507,EUROPE,IRL,1924,0,1,1
508,EUROPE,IRL,1928,1,0,0
509,EUROPE,IRL,1932,2,0,0
510,EUROPE,IRL,1948,0,0,1
511,EUROPE,IRL,1952,0,1,0
512,EUROPE,IRL,1956,1,1,3
513,EUROPE,IRL,1964,0,0,1
514,EUROPE,IRL,1980,0,1,1
515,EUROPE,IRL,1984,0,1,0
516,EUROPE,IRL,1992,1,1,0
517,EUROPE,IRL,1996,3,0,1
518,EUROPE,IRL,2000,0,1,0
519,EUROPE,IRL,2008,0,1,2
520,EUROPE,IRL,2012,1,1,3
521,EUROPE,IRL,2016,0,2,0
522,ASIE,ISR,1992,0,1,1
523,ASIE,ISR,1996,0,0,1
524,ASIE,ISR,2000,0,0,1
525,ASIE,ISR,2004,1,0,1
526,ASIE,ISR,2008,0,0,1
527,ASIE,ISR,2016,0,0,2
528,EUROPE,ITA,1900,3,2,0
529,EUROPE,ITA,1908,2,2,0
530,EUROPE,ITA,1912,5,1,2
531,EUROPE,ITA,1920,14,6,5
532,EUROPE,ITA,1924,8,3,5
533,EUROPE,ITA,1928,7,6,7
534,EUROPE,ITA,1932,12,12,12
535,EUROPE,ITA,1936,9,13,5
536,EUROPE,ITA,1948,10,12,10
537,EUROPE,ITA,1952,9,9,5
538,EUROPE,ITA,1956,9,10,9
539,EUROPE,ITA,1960,13,10,14
540,EUROPE,ITA,1964,10,11,10
541,EUROPE,ITA,1968,7,4,9
542,EUROPE,ITA,1972,7,5,11
543,EUROPE,ITA,1976,3,9,5
544,EUROPE,ITA,1980,8,5,4
545,EUROPE,ITA,1984,16,6,12
546,EUROPE,ITA,1988,8,5,6
547,EUROPE,ITA,1992,10,11,12
548,EUROPE,ITA,1996,13,10,12
549,EUROPE,ITA,2000,13,8,13
550,EUROPE,ITA,2004,10,11,11
551,EUROPE,ITA,2008,8,9,10
552,EUROPE,ITA,2012,8,9,11
553,EUROPE,ITA,2016,8,12,8
554,AFRIQUE,CIV,1984,0,1,0
555,AFRIQUE,CIV,2016,1,0,1
556,AMÉRIQUE,JAM,1948,1,2,0
557,AMÉRIQUE,JAM,1952,2,3,0
558,AMÉRIQUE,JAM,1968,0,1,0
559,AMÉRIQUE,JAM,1972,0,0,1
560,AMÉRIQUE,JAM,1976,1,1,0
561,AMÉRIQUE,JAM,1980,0,0,3
562,AMÉRIQUE,JAM,1984,0,1,2
563,AMÉRIQUE,JAM,1988,0,2,0
564,AMÉRIQUE,JAM,1992,0,3,1
565,AMÉRIQUE,JAM,1996,1,3,2
566,AMÉRIQUE,JAM,2000,0,6,3
567,AMÉRIQUE,JAM,2004,2,1,2
568,AMÉRIQUE,JAM,2008,5,2,2
569,AMÉRIQUE,JAM,2012,4,4,4
570,AMÉRIQUE,JAM,2016,6,3,2
571,ASIE,JPN,1920,0,2,0
572,ASIE,JPN,1924,0,0,1
573,ASIE,JPN,1928,2,2,1
574,ASIE,JPN,1932,7,7,4
575,ASIE,JPN,1936,6,4,10
576,ASIE,JPN,1952,1,6,1
577,ASIE,JPN,1956,4,11,3
578,ASIE,JPN,1960,4,7,7
579,ASIE,JPN,1964,16,5,8
580,ASIE,JPN,1968,11,7,7
581,ASIE,JPN,1972,14,9,9
582,ASIE,JPN,1976,9,6,10
583,ASIE,JPN,1980,0,1,0
584,ASIE,JPN,1984,10,8,14
585,ASIE,JPN,1988,4,3,8
586,ASIE,JPN,1992,4,10,15
587,ASIE,JPN,1996,3,6,5
588,ASIE,JPN,2000,5,8,5
589,ASIE,JPN,2004,16,9,12
590,ASIE,JPN,2008,9,7,9
591,ASIE,JPN,2012,7,14,17
592,ASIE,JPN,2016,12,8,21
593,ASIE,JOR,2016,1,0,0
594,ASIE,KAZ,1996,3,4,4
595,ASIE,KAZ,2000,3,4,0
596,ASIE,KAZ,2004,1,4,3
597,ASIE,KAZ,2008,2,4,7
598,ASIE,KAZ,2012,7,1,5
599,ASIE,KAZ,2016,3,5,10
600,AFRIQUE,KEN,1964,0,0,1
601,AFRIQUE,KEN,1968,3,4,2
602,AFRIQUE,KEN,1972,2,3,4
603,AFRIQUE,KEN,1984,1,0,2
